prov_name,cpro,munic_name,cmun,codmun,date,area_forestal_ha
Ourense,32,A Mezquita,48,32048,2025-08-12,10743
Ourense,32,Chandrexa de Queixa,29,32029,2025-08-12,12851.81
León,24,Boca de Huérgano,20,24020,2025-08-13,14462
Ourense,32,Vilardevós,91,32091,2025-08-13,1807.94
Ourense,32,Larouco,38,32038,2025-08-13,37765
Salamanca,37,Cipérez,106,37107,2025-08-13,9684.07
Badajoz,60,Azuaga,14,6014,2025-08-14,845.48
Zamora,49,Porto,162,49162,2025-08-14,21373
Badajoz,60,Burguillos del Cerro,22,6022,2025-08-14,538.37
Badajoz,60,Llerena,74,6074,2025-08-14,4867.35
Badajoz,60,Alburquerque,6,6006,2025-08-14,2217.46
León,24,Acebedo,1,24001,2025-08-14,549.09
León,24,Almanza,4,24004,2025-08-14,6887
Pontevedra,36,Agolada,20,36020,2025-08-15,522.32
Ourense,32,Xinzo de Limia,32,32032,2025-08-15,1023.35
Ávila,51,El Herradón,1,5101,2025-08-15,2975.81
Cáceres,10,Cáceres,37,10037,2025-08-15,3697.75
Ourense,32,Carballeda de Avia,18,32018,2025-08-15,3017.9
León,24,Igüeña,82,24082,2025-08-19,860.24
León,24,Soto y Amio,166,24166,2025-08-24,1627
Lugo,27,A Pobra do Brollón,47,27047,2025-08-25,1015.36
Almería,40,Lubrín,59,4059,2025-08-28,783.3
Ourense,32,Carballeda de Valdeorras,17,32017,2025-09-06,973.56
Lugo,27,Pantón,41,27041,2025-09-18,1909.54
Guadalajara,19,El Cardoso de la Sierra,67,19067,2025-09-21,2652
